,Use shuttle,Hard to locate shuttle,Get late waiting for shuttle,Instant payment via wallet,Use our product
486,Yes,No,No,No,No
447,Yes,Yes,No,No,Yes
212,No,Yes,Yes,Yes,Yes
198,No,Yes,Yes,Yes,Yes
210,No,Yes,Yes,Yes,Yes
112,No,Yes,Yes,Yes,Yes
33,No,Yes,Yes,Yes,Yes
34,No,Yes,Yes,Yes,Yes
284,No,Yes,Yes,Yes,Yes
172,No,Yes,Yes,Yes,Yes
19,No,Yes,Yes,Yes,Yes
51,No,Yes,Yes,Yes,Yes
76,No,Yes,Yes,Yes,Yes
451,Yes,No,No,No,Yes
226,No,Yes,Yes,Yes,Yes
241,No,Yes,Yes,Yes,Yes
175,No,Yes,Yes,Yes,Yes
304,No,Yes,Yes,Yes,Yes
8,No,Yes,Yes,Yes,Yes
296,No,Yes,Yes,Yes,Yes
351,No,Yes,No,No,Yes
156,No,Yes,Yes,Yes,Yes
143,No,Yes,Yes,Yes,Yes
13,No,Yes,Yes,Yes,Yes
444,Yes,Yes,No,No,Yes
243,No,Yes,Yes,Yes,Yes
363,Yes,Yes,No,No,Yes
313,No,Yes,Yes,Yes,Yes
401,Yes,Yes,No,No,Yes
108,No,Yes,Yes,Yes,Yes
349,No,Yes,No,No,Yes
362,Yes,Yes,No,No,Yes
194,No,Yes,Yes,Yes,Yes
141,No,Yes,Yes,Yes,Yes
222,No,Yes,Yes,Yes,Yes
309,No,Yes,Yes,Yes,Yes
490,Yes,No,No,No,No
323,No,Yes,Yes,Yes,Yes
437,Yes,Yes,No,No,Yes
92,No,Yes,Yes,Yes,Yes
95,No,Yes,Yes,Yes,Yes
174,No,Yes,Yes,Yes,Yes
87,No,Yes,Yes,Yes,Yes
63,No,Yes,Yes,Yes,Yes
396,Yes,Yes,No,No,Yes
117,No,Yes,Yes,Yes,Yes
30,No,Yes,Yes,Yes,Yes
6,No,Yes,Yes,Yes,Yes
317,No,Yes,Yes,Yes,Yes
350,No,Yes,No,No,Yes
114,No,Yes,Yes,Yes,Yes
384,Yes,Yes,No,No,Yes
285,No,Yes,Yes,Yes,Yes
357,No,Yes,No,No,Yes
459,Yes,No,No,No,Yes
484,Yes,No,No,No,No
116,No,Yes,Yes,Yes,Yes
20,No,Yes,Yes,Yes,Yes
428,Yes,Yes,No,No,Yes
199,No,Yes,Yes,Yes,Yes
353,No,Yes,No,No,Yes
487,Yes,No,No,No,No
187,No,Yes,Yes,Yes,Yes
195,No,Yes,Yes,Yes,Yes
21,No,Yes,Yes,Yes,Yes
136,No,Yes,Yes,Yes,Yes
208,No,Yes,Yes,Yes,Yes
348,No,Yes,No,No,Yes
81,No,Yes,Yes,Yes,Yes
299,No,Yes,Yes,Yes,Yes
68,No,Yes,Yes,Yes,Yes
264,No,Yes,Yes,Yes,Yes
188,No,Yes,Yes,Yes,Yes
9,No,Yes,Yes,Yes,Yes
381,Yes,Yes,No,No,Yes
282,No,Yes,Yes,Yes,Yes
427,Yes,Yes,No,No,Yes
364,Yes,Yes,No,No,Yes
324,No,Yes,Yes,Yes,Yes
319,No,Yes,Yes,Yes,Yes
2,No,Yes,Yes,Yes,Yes
52,No,Yes,Yes,Yes,Yes
206,No,Yes,Yes,Yes,Yes
368,Yes,Yes,No,No,Yes
270,No,Yes,Yes,Yes,Yes
28,No,Yes,Yes,Yes,Yes
246,No,Yes,Yes,Yes,Yes
468,Yes,No,No,No,Yes
406,Yes,Yes,No,No,Yes
135,No,Yes,Yes,Yes,Yes
86,No,Yes,Yes,Yes,Yes
46,No,Yes,Yes,Yes,Yes
3,No,Yes,Yes,Yes,Yes
180,No,Yes,Yes,Yes,Yes
69,No,Yes,Yes,Yes,Yes
145,No,Yes,Yes,Yes,Yes
181,No,Yes,Yes,Yes,Yes
165,No,Yes,Yes,Yes,Yes
94,No,Yes,Yes,Yes,Yes
55,No,Yes,Yes,Yes,Yes
228,No,Yes,Yes,Yes,Yes
472,Yes,No,No,No,No
80,No,Yes,Yes,Yes,Yes
164,No,Yes,Yes,Yes,Yes
218,No,Yes,Yes,Yes,Yes
245,No,Yes,Yes,Yes,Yes
271,No,Yes,Yes,Yes,Yes
67,No,Yes,Yes,Yes,Yes
312,No,Yes,Yes,Yes,Yes
118,No,Yes,Yes,Yes,Yes
344,No,Yes,No,No,Yes
267,No,Yes,Yes,Yes,Yes
369,Yes,Yes,No,No,Yes
85,No,Yes,Yes,Yes,Yes
394,Yes,Yes,No,No,Yes
161,No,Yes,Yes,Yes,Yes
433,Yes,Yes,No,No,Yes
196,No,Yes,Yes,Yes,Yes
